Nß lote;T°tulo;Autor;Editorial;A§o;P£blico;Idioma;P†ginas;Resumen_navarra;genero_fix;IA_Tags;Geografia_Autor;Genero_Principal_IA;Subgeneros_Limpios_IA
1129N;Los siguientes;Sim¢n, Pedro;Espasa;2024;Adulto;Castellano;310;"Morir es tan dif°cil como inevitable. TambiÇn para los que sobreviven El primer d°a que tuve que limpiarle el culo a mi padre, me ment° diciÇndome que era igual que cuando se lo limpiaba a mi hijo: venga, Carmen, que es lo mismo; va, Carmen, que es tu padre; venga, mujer, que ese hombre te limpi¢ el culo a ti. Me lo repet°a como quien est† a punto de correr para darse impulso y saltar. Es lo mismo, Carmen. Hazlo ya. Pero no. No es lo mismo. Si Pedro Sim¢n fuera un panadero, dir°amos que la masa madre de sus novelas son las relaciones familiares. Un ingrediente aparentemente sencillo y abundante pero absolutamente fundamental en la historia de la literatura. Tras ganar elˇPremio Primavera de NovelaˇconˇLos ingratos, una historia que ha conmovido a decenas de miles de lectores, volvi¢ a apuntar al coraz¢n conˇLos incomprendidos. Sin que se nos haya aflojado el nudo en la garganta, el autor nos ofrece ahora su novela m†s dif°cil pero tambiÇn m†s universal:ˇ®c¢mo se enfrentan los miembros de una familia a la inevitable decadencia y muerte de sus mayores?";masculino;relaciones familiares, envejecimiento, duelo, narrativa contempor†nea, cuidados paliativos;Europa, Espa§a;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
1128N;Cantervilleko mamua;Oscar Wilde ;Lectura F†cil Euskadi Irakurketa Erraza;2022;Adulto;Euskera;67;Hiram B. Otis ministrari amerikarrak Canterville Chase erosi zuenean jende guztiak esan zion zorakeria bat egiten ari zela, gauza ziurra baitzen bertan mamuak zeudela. Egia esan, lord Canterville-k berak, ohorearen zentzu sendoko gizonak, baldintzak zehazten hasi zirenean mister Otis-i horixe aipatu behar ziola pentsatu zuen.;masculino;literatura victoriana, relato fant†stico, adaptaci¢n f†cil, humor, choque cultural;Europa, Reino Unido - Inglaterra rural;Narrativa;Relatos/Cuentos, Humor/S†tira, Terror/G¢tico
1127N;Dr†cula;Stoker, Bram;Edimat Libros;2022;Adulto;Castellano;249;Jonathan Harker viaja a Transilvania para cerrar un negocio inmobiliario con un misterioso conde que acaba de comprar varias propiedades en Londres. DespuÇs de un viaje plagado de ominosas se§ales, Harker es recogido en el paso de Borgo por un siniestro carruaje que lo llevar†, acunado por el canto de los lobos, a un castillo en ruinas. Tal es el inquietante principio de una novela magistral que alumbr¢ uno de los mitos m†s populares y poderosos de todos los tiempos: Dr†cula. El conde Dr†cula es una creaci¢n literaria gestada en un espacio y tiempo concretos. El lugar de procedencia de Dr†cula, los C†rpatos rumanos, no fue visitado por Stoker, y los conocimientos que este ten°a acerca del pa°s parecen provenir de las consultas a una gu°a de viajes y, principalmente, de las conversaciones con un supuesto profesor de origen h£ngaro llamado Arminius Vambery.;masculino;novela g¢tica, vampirismo, siglo XIX, Transilvania, literatura epistolar;Europa, Ruman°a - Transilvania / Reino Unido - Londres;Narrativa;Terror/G¢tico, Cl†sicos
1126N;Irlanda sin t°;Rhei, Sof°a;EdebÇ;2020;Juvenil;Castellano;186;Una historia de amistad entre dos j¢venes de origen muy distinto y personalidades aparentemente opuestas. Dos estudiantes que se encuentran, sin buscarlo, en el marco de una Irlanda en la que cualquier leyenda podr°a cobrar vida. Una intriga que arrastra al lector. Y muchas decisiones de las que marcan toda una vida.;femenino;narrativa juvenil, fantas°a, Irlanda, amistad, intriga;Europa, Irlanda;Juvenil;Fantas°a, Novela de Aprendizaje (Bildungsroman)
1125N;Farorantz;Woolf, Virginia;La mar de f†cil;2024;Adulto;Euskera;134;Ramsay familiak Eskoziako oporlekuan emandako egun parea (hamar urtek bereizita) kontatzen digu Farorantz eleberriak, baina, Virginia Woolfen lan berritzaileenetan ohi den bezala, ekintzari eta elkarrizketari baino garrantzi gehiago ematen die introspekzio psikologikoari eta pertsonaien barne-munduaren azterketari. Poesiatik ere baduen prosa malgu, irristakor batean, eta kontzientziaren isuriaz baliatuz, hainbat gai doaz agertuz eta txandakatuz testuan zehar, §abarduraz beterik eta sutiltasun mehe batez: norberaren izatea eta ingurua, denboraren igarotzea, sormen artistikoa, emakumeen lekua eta egitekoak gizartean, gerraren itzala?;femenino;modernismo, flujo de conciencia, introspecci¢n psicol¢gica, literatura brit†nica, traducci¢n al euskera;Europa, Reino Unido - Escocia;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico, Conflictos BÇlicos/Historia
1124N;Vera Wong's guide to snooping (on a dead man);Sutanto, Jesse Q.;HQ;2025;Adulto;InglÇs;326;"Ever since a man was found dead in Vera's teahouse, life has been good. For Vera that is. Sheís surrounded by loved ones, her shop is bustling, and best of all, her son, Tilly, has a girlfriend! All thanks to Vera, because Tilly's girlfriend is none other than Officer SelenaˇGray. The very same Officer Gray that she had harassed while investigating the teahouse murder. Still, Vera wishes more dead bodies would pop up in her shop, but one mustn't be ungrateful, even if one is slightly...bored.

Then Vera comes across a distressed young woman who is obviously in need of her kindly guidance. The young woman is looking for a missing friend. Fortunately, while cat-sitting at Tilly and Selena's, Vera finds a treasure Selena's briefcase.ˇInside is a file about the death of an enigmatic influencer?who also happens to be the friend that the young woman was looking for.

Online, Xander had it a parade of private jets, fabulous parties with socialites, and a burgeoning career as a social media influencer. The only problem is, after his body is fished out of Mission Bay, the police can't seem to actually identify him. Who is Xander Lin? Nobody knows. Every contact is a dead end. Everybody claims not to know him, not even his parents.

Vera is determined to solve Xander's murder. After all, doing so would surely be a big favor to Selena, andˇthere is nothing she wouldn't do for her future daughter-in-law.";femenino;novela de misterio, cozy mystery, investigaci¢n amateur, vida contempor†nea, redes sociales;AmÇrica, Estados Unidos - Mission Bay;Narrativa;Novela Negra/Misterio, Social/Pol°tico
1123N;Dientes blancos;Smith, Zadie;Salamandra;2025;Adulto;Castellano;525;"Galardonada con los premios Whitbread y Guardian, adem†s haˇquedadoˇfinalista en todos los dem†s concursos literarios importantes de Gran Breta§a. Situado en un barrio londinense de inmigrantes, el inmenso fresco humano que dibuja la autora tiene como epicentro las familias de Archie Jones y Samad Iqbal, dos ex combatientes de la Segunda Guerra Mundial que vuelven a encontrarse despuÇs de treinta a§os sin verse. Archie est† casado con una jamaicana exuberante que ha perdido los dientes frontales, y Samad con Alsana, bengal° como Çl, y con las ideas muy claras. Uno trabaja en un taller de manipulados de papel y el otro se gana el sustento de camarero en un restaurante, pero su mayor problema no ha sido la guerra, ni la falta de dinero, ni el hecho de estar casados con mujeres j¢venes de car†cter endemoniado. No, la prueba m†s dura que les ha deparado la vida es la relaci¢n con sus hijos. êstos, que deber°an llevar a cabo los proyectos fracasados de sus padres, se rebelan. Se rebelan contra el racismo brit†nico, contra su propia clase social, incluso contra sus or°genes, su historia y su barrio. As°, cada uno a su manera, son la prueba viviente de lo dif°cil que resulta escapar del propio destino.
Con una acertada mezcla de s†tira extravagante y humor corrosivo, y una profusi¢n de personajes y situaciones que mantienen en vilo al lector, Zadie Smith exhibe una consumada habilidad de novelista, como si tuviera a§os de experiencia en el oficio.";femenino;novela contempor†nea, inmigraci¢n, Londres, identidad cultural, conflicto generacional;Europa, Reino Unido - Londres;Narrativa;Social/Pol°tico, Humor/S†tira, Conflictos BÇlicos/Historia
1122N;Las aventuras de Huckleberry Finn;Twain, Mark;Plut¢n;2023;Juvenil;Castellano;383;ìLas Aventuras de Huckleberry Finnîes una de las obras maestras del escritor norteamericano Mark Twain (1835-1910) y la secuela de Las Aventuras de Tom Sawyer. La novela narra el viaje de Huckleberry Finn y el negro Jim a travÇs del r°o Mississippi y las aventuras y personajes que encuentran en el trayecto. La historia se aprovecha de la s†tira y el humor para pintar un interesante cuadro de la vida en el sur de los Estados Unidos, con un comentario social mordaz y uso de un lenguaje vern†culo propio de la zona.;masculino;novela de aventuras, s†tira social, Estados Unidos siglo XIX, esclavitud, realismo;AmÇrica, Estados Unidos - R°o Mississippi;Juvenil;Aventuras, Humor/S†tira, Social/Pol°tico
1121N;Ma§ana acabar† todo;Rodr°guez Lezaun, Susana;Navona;2024;Adulto;Castellano;250;En medio de la llanura, entre caminos estrechos y campos silvestres, hay un burdel. Fiodor se form¢ en los mejores restaurantes de Francia, pero ahora trabaja como cocinero en aquel caser¢n y hace caso a todo lo que Rita, la madame, le manda. Lo que le es imposible imaginar es que la guerra les arrebatar† aquel lugar del mundo, el £nico hogar que ambos han conocido. DespuÇs de siete largos y devastadores a§os, Fiodor volver† a aquella casa para reconstruir los cimientos del edificio y los de su propia alma. Deber† aprender a convivir con Dunja y Daniela y ver† crecer a Zoran y, poco a poco, podr† volver a cocinar. Con un estilo afilado e ir¢nico, Susana Rodr°guez Lezaun retrata, a travÇs de sus personajes, la agon°a de la lucha por un ma§ana incierto e inalcanzable.;femenino;narrativa contempor†nea, posguerra, reconstrucci¢n personal, entorno rural, relaciones humanas;Europa;Narrativa;Novela Hist¢rica, Social/Pol°tico
1120N;El tiempo de los lirios;Valero, Vicente;PerifÇrica;2024;Adulto;Castellano;215;"En el siglo XIII muchos entendieron que se iniciaba una nueva era para la humanidad: el llamado tiempo de los lirios, un tiempo nuevo, lleno de paz y justicia, con una Iglesia renovada y un mundo organizado en peque§as comunidades contemplativas. Esa creencia estaba auspiciada por, entre otras cosas, las ense§anzas y el ejemplo de Francisco de As°s, quien, seg£n descubre el autor al llegar a la regi¢n italiana de la Umbr°a, sigue muy ligado a sus paisajes, sus ciudades o su arte. A medida que recorre la comarca que destaca por su sobriedad: pueblos medievales, mucha piedra y amplios valles, todo envuelto en un refinado halo m°stico, nuestro viajero se entrega a la contemplaci¢n de frescos y a desentra§ar los misterios del santo de As°s a travÇs de la huella que el fraile y la propia regi¢n dejaron en la obra de artistas de todas las Çpocas, desde los pintores del primer Renacimiento en especial el enigm†tico Giovanni di Pietro, Lo Spagna hasta autores como Goethe, Montaigne, lord Byron, Hermann Hesse, Simone Weil, Chesterton, Saramago, Franz Liszt o Pasolini. Emparentado con los c°nicos e inspiraci¢n para los movimientos ut¢picos de todo tiempo y lugar, aquel joven e iluminado Francisco despreciaba el dinero y practicaba la pobreza voluntaria y la predicaci¢n para advertir a una sociedad y a una Iglesia contaminadas por el af†n de riquezas, as° como para encontrar el viejo y casi olvidado camino de la sabidur°a o de la salvaci¢n. Como si hubiera vislumbrado y comprendido el futuro, se opuso con determinaci¢n al imparable curso econ¢mico y moral de la Historia, de ah° que sea una figura constantemente revisitada.
Tirando de diversos hilos, con un estilo ameno y una prosa n°tida y elegante, Valero capta el encanto de una regi¢n fÇrtil e inquieta, en el plano espiritual y en el art°stico, a la que tanto debe la cultura europea.";masculino;ensayo hist¢rico, Francisco de As°s, Umbr°a, arte religioso, cultura europea;Europa, Italia - Umbr°a;No Ficci¢n;Biogr†fico/Memorias, Viajes/Naturaleza, Conflictos BÇlicos/Historia
1119N;Auzo madarikatua;Urabayen, FÇlix;Pamiela;2025;Adulto;Euskera;222;"Felix Urabayenen ""Auzo madarikatua"" sanferminetan giroturiko lehenbiziko nobela da. 1925ean ikusi zuen argia, gaztelaniaz, Hemingwayren ""The Sun Also Rises"" eleberria baino urtebete lehenago. Handik sei urtera, frantsesezko edizioa plazaratu zen. Liburua argitaratu zenetik ehun urtera, Iru§eko IKF Fundazioak euskararen ondarera ekarri nahi izan du. Pello Mari Etxenike arizkundarra, euskaldun peto-petoa, behingoz ama-hizkuntzan mintzo zaigu. Liburuak bi eszenatoki ditu: Baztan eta Iru§ea. ""Auzo madarikatua"" Arizkungo Bozate da, bertan kasta misteriotsu eta baztertua bizi baita: agotak. Bertze gai nagusia, erran bezala, Iru§eko festak dira. Liburuak XX. mendearen hasierako sanferminetan murgiltzeko parada ematen digu.";masculino;novela social, minor°as Çtnicas, sanfermines, Navarra, siglo XX;Local;Narrativa;Novela Hist¢rica, Social/Pol°tico
1118N;Las primas;Venturini, Aurora;Tusquets;2024;Adulto;Castellano;218;Si la historia que cuenta esta impactante novela de Aurora Venturini transcurriera en Texas, seguramente habr°a en ella psic¢patas asesinos, v°sceras y sangre a raudales. No es el caso, por suerte para los lectores, pese a que en el seno de la familia que la protagoniza hay asesinos?y asesinatos?, prostitutas, encubridores, retrasadas mentales y una enana. TambiÇn un profesor de bellas artes, una alumna aventajada y una madre profesora. Aura Venturini disecciona la sociedad de su juventud, en La Plata (Argentina) de los a§os cuarenta, una familia compuesta por mujeres y totalmente disfuncional que muestra una capacidad asombrosa para salir adelante, hasta el punto de que la protagonista consigue convertirse en pintora famosa. Yuna, la narradora, relata en primera persona los a§os de formaci¢n y superaci¢n personal, con un corrosivo sentido del humor y sin pelos en la lengua.Las primasˇsupuso el descubrimiento y la consagraci¢n de su autora, a la edad de ochenta y cinco a§os: ciertamente, nunca es tarde si la novela es buena. En este caso es excelente.;femenino;realismo social, discapacidad, familia disfuncional, Argentina siglo XX, narrativa en primera persona;AmÇrica, Argentina - La Plata;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo, Humor/S†tira, Novela de Aprendizaje (Bildungsroman)
1117N;Limpia;Trabucco Zer†n, Alia;Lumen;2024;Adulto;Castellano;225;La vida tiende a ser as°: una gota, una gota, una gota, una gota, y luego nos preguntamos, perplejos, c¢mo es que estamos empapados. Estela deja a su madre en el sur para trabajar en la casa de una familia en Santiago de Chile y all° se queda los siguientes siete a§os, limpiando y criando a una ni§a acosada por la ansiedad, cuya muerte conocemos al comienzo de la novela. Como en una tragedia griega, la tensi¢n crece en cada p†gina, con cada personaje o elemento: la perra callejera, las ratas, la confesi¢n inconfesable del Æse§orØ, la aparici¢n de Carlos, el veneno, la pistola, hasta un desenlace tan poderoso como inevitable. ÆCon la fuerza de una voz ind¢mita, Alia Trabucco Zer†n construye una novela lucid°sima, despiadada y brutalØ.Federico Falco;femenino;narrativa chilena, trabajo domÇstico, relaciones de poder, tragedia contempor†nea, Santiago de Chile;AmÇrica, Chile - Santiago;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
1116N;AndrÇs : una infancia marcada;SellÇs, M. ∑ngels;La Mar de FÖcil;2023;Adulto;Castellano;81;Libro en Lectura F†cil. Esta es la historia de AndrÇs, un ni§o maltratado por su padre durante su infancia. Junto con su madre, consigue dejar atr†s aquella vida, pero... ®C¢mo le afectar† a lo largo del tiempo esta violencia vivida?;femenino;Lectura F†cil, violencia infantil, resiliencia, narrativa social.;Europa, Espa§a;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo
1115N;Hur°es;Daoud, Kamel;Cabaret Voltaire;2025;Adulto;Castellano;488;ÆYo soy la autÇntica huella, la prueba m†s s¢lida de todo lo que vivimos durante diez a§os en Argelia. Llevo en m° la historia de toda una guerra, inscrita en mi piel desde que era una ni§a. [?] Mi peque§a Hur°, ®quÇ har°as t£ con una madre como yo en un pa°s que no nos quiere a las mujeres, o solo de noche? Te contarÇ todo lo que pueda, pero en alg£n momento tendremos que parar. Soy un libro cuyo final es el tuyo.Ø Aube es una joven argelina que lleva la tragedia marcada en el cuerpo: una enorme cicatriz en el cuello y las cuerdas vocales destruidas, secuelas de la guerra civil de los a§os noventa. Muda, Aube solo puede contar su historia a la hija que lleva en su vientre. Pero ®tiene derecho a tener a esa ni§a? ®Puede dar la vida una mujer a la que pr†cticamente le arrebataron la suya? En un pa°s que ha votado leyes para castigar a todo aquel que evoque la guerra civil, Aube decide volver a su aldea natal, donde todo empez¢, con la esperanza de que los muertos puedan procurarle las respuestas que los vivos le niegan.;masculino;guerra civil argelina, trauma, memoria, maternidad, literatura magreb°;µfrica, Argelia;Narrativa;Psicol¢gico/÷ntimo, Conflictos BÇlicos/Historia, Social/Pol°tico
